x0,y0,theta0,x1,y1,theta1,timestep,timehorizon
2,4,-0.7854,3,4,1.5708,18,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
3,2,-1.5708,3,4,1.5708,19,17
